"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	1	25.232	25.248	9.9653062170713	6.52148576741451	8.41969880696453	125	0.05
"2"	25000	24.746835443038	25.493670886076	11.9149498985418	6.4743949209427	8.79968098939625	237	0.0948
"3"	50000	25	25.3829201101928	13.8740125993504	7.41904964275819	10.0104939284899	363	0.1452
"4"	75000	24.9808510638298	25.4212765957447	15.5529011528043	8.36302234132912	11.1316670299037	470	0.188
"5"	1e+05	24.8954703832753	25.5017421602787	18.45300904233	9.19394396224635	12.3513300726279	574	0.2296
"6"	125000	24.7983193277311	25.6834733893557	20.34473816965	10.2796433836755	13.8011375039052	714	0.2856
"7"	150000	24.7434135166094	25.5727376861397	20.2660382718004	11.3166407315843	15.1507447945546	873	0.3492
"8"	175000	24.6323957322987	25.7400581959263	22.6991880715717	12.3063018341267	16.4788017848612	1031	0.4124
"9"	2e+05	24.6985294117647	25.7941176470588	24.9882509156509	13.3784261347019	17.9415154861895	1224	0.4896
"10"	225000	24.766713091922	25.6267409470752	25.1951743230509	14.437660040639	19.2719183535028	1436	0.5744
"11"	250000	24.7039755351682	25.7608562691131	26.562393008697	15.3669254484499	20.5293968540849	1635	0.654
"12"	275000	24.8342511013216	25.7064977973568	28.3656149172275	16.1567121130432	21.601623458994	1816	0.7264
"13"	3e+05	24.6326021934197	25.6076769690927	28.6382492001978	16.9408564019341	22.669803818931	2006	0.8024
"14"	325000	24.6669750231267	25.1512488436633	31.0440828008344	17.5887130921402	23.496720069051	2162	0.8648
"15"	350000	24.7075512876473	25.0580532518551	31.1329477762913	18.1129766848894	24.1185749510422	2291	0.9164
