"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	250.719247093857	236.778408727905	112.742359602419	63.1941693814523	84.820664451725	125	0.05
"2"	25000	249.987956657825	236.386074901201	136.710005646074	71.8159028815927	95.7325294234209	367	0.1468
"3"	50000	249.554687924896	238.021804620163	160.656558241008	83.6410199580542	111.205387233886	505	0.202
"4"	75000	246.145251276921	239.335054120056	173.033220750227	95.9044484907907	128.918009666479	667	0.2668
"5"	1e+05	249.22116471442	245.077737520837	200.548177958815	110.548918895974	148.831682042163	869	0.3476
"6"	125000	251.802025489707	243.113711523743	224.187801383098	123.621002743174	168.280914084588	1076	0.4304
"7"	150000	254.054806518132	242.611439385587	248.373114789967	138.644609201601	186.681052236532	1354	0.5416
"8"	175000	254.148493108144	242.712470791969	260.947872279223	151.417763586689	202.974522425953	1622	0.6488
"9"	2e+05	252.415395115653	245.96467148095	291.999304870536	163.680722693118	220.766368771377	1891	0.7564
"10"	225000	255.294892086057	244.34601132212	291.830437456375	173.771140165215	233.900608647243	2134	0.8536
"11"	250000	255.731250385503	247.296424195506	305.308620863343	180.347740004171	243.63289400005	2288	0.9152
