"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"DurchschnittAnzahlZellen"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	111.995217218015	112	40.4635212921227	27.1335176556126	36.2330982430087	4	2509	0.0500039859693878
"2"	10	111.693697076023	111.953666494668	45.3313694463876	27.4892710038235	36.7078171927991	4.99208806329549	2907	0.0579360650510204
"3"	20	112.047449289246	111.883204851669	48.2423058673308	27.9027140579274	37.1217384372823	4.89369592088999	3236	0.0644929846938776
"4"	30	112.385533005342	111.842876244026	51.5880472921653	28.5634287211164	37.8507010193337	4.86702277199888	3557	0.0708904655612245
"5"	40	112.426975596613	111.835213446241	56.2031696337537	29.2979533199746	38.8471590761212	4.86887349243007	3897	0.0776666135204082
"6"	50	112.631478830549	111.74303150358	58.1736722114937	30.1119752085184	39.9316428680339	4.88878281622912	4190	0.0835060586734694
"7"	60	112.702272438863	111.893302335316	59.6259514795299	31.0864289040715	41.375397863004	4.88257325402071	4539	0.090461575255102
"8"	70	112.91754963548	111.973633515593	62.9548769054905	32.2559764708692	43.1451399064523	4.90562980963953	4938	0.0984135841836735
"9"	80	113.040110645041	112.088882792692	65.3238856476863	33.4283674963796	44.7394242773326	4.89709172259508	5364	0.106903698979592
"10"	90	113.197177945464	112.524526582061	68.1368174904239	34.5884732539772	46.3431939130281	4.87497856285371	5831	0.1162109375
"11"	100	113.423589435279	112.719705123731	68.6583399701259	35.7290523837689	47.9183939666871	4.81947969543147	6304	0.125637755102041
"12"	110	113.497118112432	112.699729928079	70.5726395520786	37.0183162821331	49.719797756475	4.81373844121532	6813	0.135782047193878
"13"	120	113.617022273845	112.734402896966	72.2264405611834	38.1807299198073	51.4150161323355	4.78819349549057	7318	0.145846619897959
"14"	130	113.422941528952	113.052195710862	74.1623096351239	39.5584158818108	53.4486367482539	4.77355872335057	7927	0.157983896683673
"15"	140	113.289237306122	113.198323276968	76.6999368118689	40.9227523105886	55.3533874962443	4.74752186588921	8575	0.1708984375
