"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	25000	24.1388888888889	24.5509259259259	11.790165167821	6.52309076022769	8.76169241321325	216	0.0864
"2"	50000	24.5375	24.428125	13.5836647214816	6.94967484367449	9.27313039192402	320	0.128
"3"	75000	24.4913151364764	24.4491315136476	13.6134670223903	7.68230054218126	10.1689906198102	403	0.1612
"4"	1e+05	24.4683026584867	24.7975460122699	15.2731961273981	8.43865550942136	11.2150647528305	489	0.1956
"5"	125000	24.2902654867257	24.8548672566372	15.8555149069404	9.07631470711653	12.1247574138513	565	0.226
"6"	150000	24.1990811638591	24.5007656967841	17.5022917306749	9.75891406235971	12.9738593897206	653	0.2612
"7"	175000	24.3919463087248	24.9087248322148	18.5849999064179	10.4120577550369	13.8960017924889	745	0.298
"8"	2e+05	24.6460071513707	25.1549463647199	20.5719551424541	11.0382072836437	14.6966253698855	839	0.3356
"9"	225000	24.807651434644	25.2082890541977	21.0897741977471	11.6676328086155	15.539727967978	941	0.3764
"10"	250000	25.0649854510184	25.2609117361785	22.14852735726	12.2107218032723	16.2233005094593	1031	0.4124
"11"	275000	25.0580589254766	25.155979202773	22.6685094907944	12.9107254387019	17.1574411555348	1154	0.4616
"12"	3e+05	25.0939183987683	25.2532717474981	23.0966737663281	13.6760002685974	18.2336808294255	1299	0.5196
"13"	325000	25.0967063770147	25.2116327960757	24.1780544535325	14.3091389015028	19.1056564851829	1427	0.5708
"14"	350000	25.059085133418	25.2909783989835	25.2878066631906	15.0324241241877	20.0720867809224	1574	0.6296
"15"	375000	24.9847058823529	25.1794117647059	26.5835101280219	15.61597025543	20.9250640344131	1700	0.68
"16"	4e+05	25.156862745098	24.9564270152505	28.2328539586801	16.2106671670097	21.6397603461163	1836	0.7344
"17"	425000	25.2155566853076	24.8357905439756	28.2711868865819	16.7575140904507	22.3790818027221	1967	0.7868
"18"	450000	25.2958891013384	24.9369024856597	29.2067487112129	17.2706368115458	23.0957509379739	2092	0.8368
"19"	475000	25.0704805491991	24.9400457665904	29.9797239490144	17.6495467319194	23.5798435042267	2185	0.874
"20"	5e+05	25.1409010600707	24.9019434628975	30.0039508292882	17.9823161136484	24.0318427964482	2264	0.9056
