"Time"	"AbdeckungDurchschnitt"	"AbdeckungMax"	"AbdeckungMin"	"AbdeckungUnterschied"
"1"	25000	0.08672	0.0912	0.0848	0.0064
"2"	50000	0.126	0.132	0.1196	0.0124
"3"	75000	0.15936	0.1648	0.1532	0.0116
"4"	1e+05	0.18792	0.1956	0.1784	0.0172
"5"	125000	0.21864	0.226	0.2096	0.0164
"6"	150000	0.24984	0.2612	0.2368	0.0244
"7"	175000	0.28312	0.298	0.2684	0.0296
"8"	2e+05	0.3228	0.3356	0.3096	0.026
"9"	225000	0.36608	0.3764	0.356	0.0204
"10"	250000	0.4072	0.4244	0.3956	0.0288
"11"	275000	0.45096	0.4684	0.4348	0.0336
"12"	3e+05	0.502	0.5196	0.4852	0.0343999999999999
"13"	325000	0.5516	0.5708	0.5336	0.0372
"14"	350000	0.6048	0.6296	0.5856	0.044
"15"	375000	0.656	0.68	0.6308	0.0492
"16"	4e+05	0.71056	0.7344	0.686	0.0484
"17"	425000	0.76848	0.7952	0.7436	0.0516
"18"	450000	0.81784	0.8368	0.796	0.0407999999999999
"19"	475000	0.85904	0.8752	0.8412	0.034
"20"	5e+05	0.89432	0.9144	0.8784	0.036
