"time"	"divide"	"flip"
"1"	180	5	0
"2"	160	5	1
"3"	160	5	2
"4"	150	5	3
"5"	140	5	4
"6"	140	5	5
"7"	130	5	6
"8"	140	5	7
"9"	130	5	8
"10"	120	5	9
"11"	120	5	10
"12"	160	6	0
"13"	150	6	1
"14"	140	6	2
"15"	130	6	3
"16"	120	6	4
"17"	130	6	5
"18"	120	6	6
"19"	120	6	7
"20"	110	6	8
"21"	110	6	9
"22"	110	6	10
"23"	140	7	0
"24"	130	7	1
"25"	120	7	2
"26"	110	7	3
"27"	110	7	4
"28"	110	7	5
"29"	110	7	6
"30"	100	7	7
"31"	100	7	8
"32"	100	7	9
"33"	100	7	10
"34"	130	8	0
"35"	120	8	1
"36"	110	8	2
"37"	110	8	3
"38"	110	8	4
"39"	100	8	5
"40"	90	8	6
"41"	100	8	7
"42"	90	8	8
"43"	90	8	9
"44"	90	8	10
"45"	110	9	0
"46"	100	9	1
"47"	100	9	2
"48"	100	9	3
"49"	100	9	4
"50"	90	9	5
"51"	90	9	6
"52"	90	9	7
"53"	80	9	8
"54"	80	9	9
"55"	80	9	10
"56"	110	10	0
"57"	100	10	1
"58"	90	10	2
"59"	90	10	3
"60"	90	10	4
"61"	90	10	5
"62"	90	10	6
"63"	80	10	7
"64"	80	10	8
"65"	80	10	9
"66"	70	10	10
"67"	100	11	0
"68"	90	11	1
"69"	80	11	2
"70"	80	11	3
"71"	80	11	4
"72"	80	11	5
"73"	80	11	6
"74"	80	11	7
"75"	70	11	8
"76"	70	11	9
"77"	70	11	10
"78"	90	12	0
"79"	80	12	1
"80"	80	12	2
"81"	80	12	3
"82"	80	12	4
"83"	80	12	5
"84"	70	12	6
"85"	70	12	7
"86"	70	12	8
"87"	70	12	9
"88"	70	12	10
"89"	80	13	0
"90"	80	13	1
"91"	80	13	2
"92"	80	13	3
"93"	70	13	4
"94"	70	13	5
"95"	70	13	6
"96"	70	13	7
"97"	70	13	8
"98"	70	13	9
"99"	70	13	10
"100"	80	14	0
"101"	70	14	1
"102"	70	14	2
"103"	70	14	3
"104"	70	14	4
"105"	70	14	5
"106"	60	14	6
"107"	60	14	7
"108"	60	14	8
"109"	60	14	9
"110"	60	14	10
"111"	70	15	0
"112"	70	15	1
"113"	70	15	2
"114"	60	15	3
"115"	60	15	4
"116"	70	15	5
"117"	60	15	6
"118"	60	15	7
"119"	60	15	8
"120"	60	15	9
"121"	60	15	10
