"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	250.30694187003	252.996407318516	102.271423246546	68.8896122418473	92.4693883055058	125	0.05
"2"	25000	253.449851272243	248.387409945145	109.732472470354	68.2243447252531	89.9454088353748	200	0.08
"3"	50000	255.326982973515	249.453961853711	111.83221124016	69.1800631611685	91.0606301907715	275	0.11
"4"	75000	254.537224489963	250.558832610131	126.523662698623	72.4293260649197	95.9351792682491	345	0.138
"5"	1e+05	253.765667963349	251.083805130444	143.530607945012	76.3275571660775	101.025960592203	405	0.162
"6"	125000	255.091359260904	251.126529197462	142.79185609641	80.146923190794	106.136800992034	448	0.1792
"7"	150000	252.812279611104	251.995663642771	144.82853792076	83.8705944174285	111.347688209616	494	0.1976
"8"	175000	251.598539527828	252.007954903132	153.951963018467	88.1290987460967	117.08060668289	546	0.2184
"9"	2e+05	251.354204859775	254.382469201092	157.025181770959	92.4270919103931	122.733371912024	601	0.2404
"10"	225000	251.842518487307	254.668707714835	158.623887870007	96.2701574524034	128.269344687382	656	0.2624
"11"	250000	249.884677714826	253.115674198332	188.406708401959	101.174300614331	135.543727389308	721	0.2884
"12"	275000	249.317965309802	253.945269522335	191.456903842038	105.495692824578	140.600096873329	787	0.3148
"13"	3e+05	248.218742422843	253.319663113615	198.96783673829	109.351545124591	144.896102046841	845	0.338
"14"	325000	246.982780080055	251.256364559432	198.601432074128	114.080249027047	150.498672357225	917	0.3668
"15"	350000	246.026536337403	250.310092790437	213.757644743159	119.60447515478	159.186761320493	1007	0.4028
"16"	375000	246.647316177473	249.978386734882	218.803109757636	123.151717474118	164.014895340718	1069	0.4276
"17"	4e+05	244.852042039442	249.499347963263	230.269324686177	127.821374875139	170.196162025135	1152	0.4608
"18"	425000	244.135101551611	248.518204131833	241.263385460389	132.362220644051	175.466795994501	1234	0.4936
"19"	450000	243.890441815291	247.769952933147	247.538221684854	136.493144507402	182.231663880894	1311	0.5244
"20"	475000	243.869046232175	245.727343089149	250.703577620602	141.33882144734	188.757894822895	1403	0.5612
"21"	5e+05	242.841779982335	245.580668482615	254.996094780007	145.524094388706	194.719840025634	1490	0.596
"22"	525000	243.957169765975	247.908171847369	277.472487387158	150.895524898301	201.458842872506	1604	0.6416
"23"	550000	244.250037858224	248.014350108127	277.757925089991	155.462179729446	207.125342228678	1707	0.6828
"24"	575000	243.884215212303	248.602172312869	282.779248663401	160.21921049927	214.20617481008	1813	0.7252
"25"	6e+05	244.228049577226	247.735794768466	294.548434063266	165.060375453582	220.258477568857	1922	0.7688
"26"	625000	244.513253779865	247.48927133004	300.232402587884	169.02453735859	225.251799755355	2012	0.8048
"27"	650000	245.457465962205	245.592873630866	311.929448446204	173.969698881221	232.773397565115	2131	0.8524
"28"	675000	244.970590258391	245.533353101624	315.314433937253	177.07983579563	236.189322910792	2206	0.8824
"29"	7e+05	245.825317955302	245.216318575966	322.484902148319	179.675301530031	240.06748644772	2270	0.908
"30"	725000	248.088887197499	245.853675406771	326.342863248154	182.127955587889	243.668839667298	2331	0.9324
"31"	750000	248.941429757985	245.995928002777	334.817130233112	183.678757318864	245.350516798553	2368	0.9472
"32"	775000	249.447897668447	246.756114734451	335.703607864134	184.740406326471	246.634307515133	2394	0.9576
"33"	8e+05	250.004727457276	247.451907162837	342.550726605441	186.022314851532	247.519901391405	2422	0.9688
"34"	825000	249.644207986875	247.975924536714	342.922982598245	186.962037375303	248.523201591245	2441	0.9764
