"Time"	"AbdeckungDurchschnitt"	"AbdeckungMax"	"AbdeckungMin"	"AbdeckungUnterschied"
"1"	0	0.09	0.2	0.05	0.15
"2"	25000	0.08056	0.0892	0.076	0.0132
"3"	50000	0.1164	0.1256	0.11	0.0156
"4"	75000	0.14416	0.1496	0.138	0.0116
"5"	1e+05	0.16872	0.174	0.162	0.012
"6"	125000	0.18704	0.1928	0.1792	0.0136
"7"	150000	0.20664	0.214	0.1976	0.0164
"8"	175000	0.22568	0.2372	0.2184	0.0188
"9"	2e+05	0.24552	0.2568	0.24	0.0168
"10"	225000	0.26784	0.278	0.2612	0.0168
"11"	250000	0.29176	0.3028	0.2848	0.018
"12"	275000	0.31896	0.3292	0.31	0.0192
"13"	3e+05	0.34384	0.3552	0.3328	0.0224
"14"	325000	0.37504	0.3896	0.3644	0.0252
"15"	350000	0.40768	0.4196	0.3984	0.0212
"16"	375000	0.4356	0.4488	0.4276	0.0212
"17"	4e+05	0.4684	0.478	0.4608	0.0172
"18"	425000	0.49984	0.5084	0.492	0.0164
"19"	450000	0.53408	0.5432	0.5232	0.02
"20"	475000	0.5724	0.5896	0.5556	0.034
"21"	5e+05	0.60896	0.6268	0.5936	0.0332
"22"	525000	0.6533	0.668	0.64	0.028
"23"	550000	0.6929	0.7092	0.674	0.0352
"24"	575000	0.7334	0.7564	0.7128	0.0436
"25"	6e+05	0.7735	0.7988	0.752	0.0468
"26"	625000	0.8081	0.8324	0.7928	0.0396000000000001
"27"	650000	0.8428	0.8604	0.8268	0.0336000000000001
"28"	675000	0.8706	0.888	0.8508	0.0372
"29"	7e+05	0.895	0.914	0.8772	0.0368000000000001
"30"	725000	0.9136	0.9324	0.9004	0.032
"31"	750000	0.9354	0.9472	0.9236	0.0236000000000001
"32"	775000	0.9516	0.9576	0.9456	0.012
