"time"	"divide"	"flip"
"1"	260	5	0
"2"	220	5	1
"3"	220	5	2
"4"	200	5	3
"5"	190	5	4
"6"	180	5	5
"7"	190	5	6
"8"	180	5	7
"9"	160	5	8
"10"	160	5	9
"11"	160	5	10
"12"	220	6	0
"13"	190	6	1
"14"	200	6	2
"15"	170	6	3
"16"	170	6	4
"17"	160	6	5
"18"	150	6	6
"19"	150	6	7
"20"	140	6	8
"21"	140	6	9
"22"	140	6	10
"23"	180	7	0
"24"	180	7	1
"25"	160	7	2
"26"	150	7	3
"27"	150	7	4
"28"	140	7	5
"29"	140	7	6
"30"	130	7	7
"31"	120	7	8
"32"	130	7	9
"33"	120	7	10
"34"	170	8	0
"35"	150	8	1
"36"	140	8	2
"37"	140	8	3
"38"	130	8	4
"39"	130	8	5
"40"	120	8	6
"41"	120	8	7
"42"	120	8	8
"43"	120	8	9
"44"	110	8	10
"45"	150	9	0
"46"	130	9	1
"47"	130	9	2
"48"	120	9	3
"49"	110	9	4
"50"	120	9	5
"51"	120	9	6
"52"	120	9	7
"53"	110	9	8
"54"	110	9	9
"55"	100	9	10
"56"	130	10	0
"57"	120	10	1
"58"	120	10	2
"59"	110	10	3
"60"	100	10	4
"61"	110	10	5
"62"	100	10	6
"63"	100	10	7
"64"	100	10	8
"65"	100	10	9
"66"	100	10	10
"67"	110	11	0
"68"	110	11	1
"69"	110	11	2
"70"	110	11	3
"71"	100	11	4
"72"	100	11	5
"73"	100	11	6
"74"	90	11	7
"75"	90	11	8
"76"	90	11	9
"77"	90	11	10
"78"	110	12	0
"79"	100	12	1
"80"	100	12	2
"81"	100	12	3
"82"	100	12	4
"83"	90	12	5
"84"	90	12	6
"85"	80	12	7
"86"	90	12	8
"87"	80	12	9
"88"	80	12	10
"89"	100	13	0
"90"	100	13	1
"91"	90	13	2
"92"	90	13	3
"93"	90	13	4
"94"	80	13	5
"95"	80	13	6
"96"	80	13	7
"97"	80	13	8
"98"	80	13	9
"99"	80	13	10
"100"	90	14	0
"101"	90	14	1
"102"	80	14	2
"103"	80	14	3
"104"	80	14	4
"105"	80	14	5
"106"	80	14	6
"107"	80	14	7
"108"	70	14	8
"109"	80	14	9
"110"	80	14	10
"111"	90	15	0
"112"	90	15	1
"113"	80	15	2
"114"	80	15	3
"115"	80	15	4
"116"	80	15	5
"117"	70	15	6
"118"	70	15	7
"119"	70	15	8
"120"	70	15	9
"121"	70	15	10
