"Time"	"AbdeckungDurchschnitt"	"AbdeckungMax"	"AbdeckungMin"	"AbdeckungUnterschied"
"1"	0	0.0500039859693878	0.0500039859693878	0.0500039859693878	0
"2"	10	0.0668606505102041	0.0676618303571429	0.0661073022959184	0.0015545280612245
"3"	20	0.0844128667091837	0.0851004464285714	0.0833466198979592	0.00175382653061223
"4"	30	0.10041653380102	0.101522640306122	0.0995695153061224	0.001953125
"5"	40	0.115967793367347	0.118064413265306	0.114437181122449	0.00362723214285714
"6"	50	0.131124441964286	0.133011798469388	0.128946109693878	0.00406568877551022
"7"	60	0.146394690688776	0.148895886479592	0.143734056122449	0.00516183035714288
"8"	70	0.162424266581633	0.165597098214286	0.159199617346939	0.00639748086734696
"9"	80	0.179561941964286	0.183294802295918	0.176060267857143	0.00723453443877553
"10"	90	0.197757892219388	0.201470822704082	0.193160076530612	0.00831074617346939
"11"	100	0.216460060586735	0.220942283163265	0.212651466836735	0.00829081632653061
"12"	110	0.236369977678571	0.241768973214286	0.232122927295918	0.00964604591836735
"13"	120	0.257278380102041	0.262575733418367	0.253049266581633	0.00952646683673475
"14"	130	0.27903977997449	0.28483737244898	0.273776307397959	0.0110610650510204
"15"	140	0.301046316964286	0.305863360969388	0.296117665816327	0.00974569515306123
"16"	150	0.324406090561224	0.329280931122449	0.319256218112245	0.0100247130102041
"17"	160	0.348740433673469	0.353974011479592	0.343451052295918	0.0105229591836735
"18"	170	0.373941725127551	0.380002391581633	0.368024553571429	0.0119778380102041
"19"	180	0.39951171875	0.406130420918367	0.392817283163265	0.0133131377551021
"20"	190	0.426130022321429	0.433115433673469	0.418746014030612	0.0143694196428572
"21"	200	0.453766741071429	0.461037149234694	0.447943239795918	0.0130939094387755
"22"	210	0.482202646683673	0.489536830357143	0.476682079081633	0.0128547512755102
"23"	220	0.511794483418367	0.51937181122449	0.506277901785714	0.0130939094387755
"24"	230	0.542362882653061	0.551020408163265	0.536571269132653	0.0144491390306122
"25"	240	0.574284518494898	0.584064094387755	0.567562181122449	0.0165019132653061
"26"	250	0.606548947704082	0.615872130102041	0.600027901785714	0.0158442283163265
"27"	260	0.639349489795918	0.648078762755102	0.631915656887755	0.0161631058673469
"28"	270	0.67327806122449	0.6826171875	0.664620535714286	0.0179966517857143
"29"	280	0.707605229591837	0.716976243622449	0.699099170918367	0.0178770727040816
"30"	290	0.740909996811224	0.750837053571429	0.732202646683674	0.0186344068877551
"31"	300	0.772660235969388	0.781728316326531	0.763791454081633	0.017936862244898
"32"	310	0.801985012755102	0.810606664540816	0.793008609693878	0.0175980548469388
"33"	320	0.828378109056122	0.836575255102041	0.820252710459184	0.0163225446428571
"34"	330	0.852349728954082	0.860132334183674	0.844746492346939	0.0153858418367347
"35"	340	0.87380221619898	0.88101881377551	0.867227359693878	0.0137914540816326
"36"	350	0.893271683673469	0.899533641581633	0.887296715561224	0.0122369260204082
"37"	360	0.910425302933674	0.916394292091837	0.904217155612245	0.0121771364795918
"38"	370	0.925552056760204	0.931301817602041	0.919822225765306	0.0114795918367346
"39"	380	0.939170121173469	0.943638392857143	0.933952487244898	0.00968590561224492
"40"	390	0.951066246811225	0.955197704081633	0.946548150510204	0.00864955357142849
"41"	400	0.961473612882653	0.965062978316326	0.958266900510204	0.00679607780612235
"42"	410	0.970428093112245	0.973254145408163	0.967554209183674	0.00569993622448972
"43"	420	0.978065210459184	0.980508609693878	0.975207270408163	0.0053013392857143
"44"	430	0.984428810586735	0.986527423469388	0.981584821428571	0.00494260204081631
"45"	440	0.989421237244898	0.991131218112245	0.987185108418367	0.00394610969387754
"46"	450	0.993263711734694	0.994499362244898	0.991768973214286	0.00273038903061229
"47"	460	0.99583665497449	0.996532206632653	0.994539221938776	0.00199298469387754
"48"	470	0.997464923469388	0.997947225765306	0.996771364795918	0.00117586096938782
"49"	480	0.998511240433673	0.998824139030612	0.998226243622449	0.000597895408163351
"50"	490	0.999061304209184	0.999362244897959	0.998883928571429	0.000478316326530615
"51"	500	0.999424027423469	0.999701052295918	0.999242665816326	0.000458386479591844
"52"	510	0.999677136479592	0.999860491071429	0.999481823979592	0.00037866709183676
"53"	520	0.999814652423469	0.999960140306122	0.999720982142857	0.000239158163265363
"54"	530	0.999884406887755	0.999980070153061	0.999760841836735	0.000219228316326481
"55"	540	0.999918287627551	0.999980070153061	0.999820631377551	0.000159438775510168
"56"	550	0.999962133290816	1	0.999900350765306	9.96492346938549e-05
"57"	560	0.999980070153061	1	0.999920280612245	7.97193877550839e-05
"58"	570	0.999994021045918	1	0.999960140306122	3.9859693877542e-05
"59"	580	0.999998007015306	1	0.999980070153061	1.9929846938771e-05
"60"	590	1	1	1	0
"61"	600	1	1	1	0
"62"	610	1	1	1	0
"63"	620	1	1	1	0
"64"	630	1	1	1	0
"65"	640	1	1	1	0
"66"	650	1	1	1	0
"67"	660	1	1	1	0
"68"	670	1	1	1	0
"69"	680	1	1	1	0
"70"	690	1	1	1	0
"71"	700	1	1	1	0
