"Time"	"ICC"	"Volume"
"1"	440	-25	0
"2"	360	-25	0.2
"3"	330	-25	0.4
"4"	300	-25	0.6
"5"	270	-25	0.8
"6"	260	-25	1
"7"	250	-25	1.2
"8"	250	-25	1.4
"9"	230	-25	1.6
"10"	230	-25	1.8
"11"	230	-25	2
"12"	470	-20	0
"13"	380	-20	0.2
"14"	330	-20	0.4
"15"	300	-20	0.6
"16"	280	-20	0.8
"17"	260	-20	1
"18"	260	-20	1.2
"19"	250	-20	1.4
"20"	240	-20	1.6
"21"	240	-20	1.8
"22"	230	-20	2
"23"	510	-15	0
"24"	400	-15	0.2
"25"	350	-15	0.4
"26"	320	-15	0.6
"27"	290	-15	0.8
"28"	280	-15	1
"29"	270	-15	1.2
"30"	260	-15	1.4
"31"	250	-15	1.6
"32"	250	-15	1.8
"33"	240	-15	2
"34"	600	-10	0
"35"	430	-10	0.2
"36"	380	-10	0.4
"37"	340	-10	0.6
"38"	320	-10	0.8
"39"	300	-10	1
"40"	290	-10	1.2
"41"	280	-10	1.4
"42"	270	-10	1.6
"43"	260	-10	1.8
"44"	260	-10	2
"45"	Inf	-5	0
"46"	570	-5	0.2
"47"	450	-5	0.4
"48"	400	-5	0.6
"49"	360	-5	0.8
"50"	330	-5	1
"51"	320	-5	1.2
"52"	310	-5	1.4
"53"	300	-5	1.6
"54"	290	-5	1.8
"55"	280	-5	2
"56"	Inf	0	0
"57"	Inf	0	0.2
"58"	560	0	0.4
"59"	470	0	0.6
"60"	410	0	0.8
"61"	380	0	1
"62"	360	0	1.2
"63"	340	0	1.4
"64"	320	0	1.6
"65"	310	0	1.8
"66"	300	0	2
"67"	Inf	5	0
"68"	Inf	5	0.2
"69"	650	5	0.4
"70"	560	5	0.6
"71"	490	5	0.8
"72"	430	5	1
"73"	400	5	1.2
"74"	370	5	1.4
"75"	350	5	1.6
"76"	330	5	1.8
"77"	320	5	2
"78"	Inf	10	0
"79"	Inf	10	0.2
"80"	Inf	10	0.4
"81"	670	10	0.6
"82"	530	10	0.8
"83"	480	10	1
"84"	430	10	1.2
"85"	410	10	1.4
"86"	380	10	1.6
"87"	370	10	1.8
"88"	350	10	2
"89"	Inf	15	0
"90"	Inf	15	0.2
"91"	Inf	15	0.4
"92"	Inf	15	0.6
"93"	Inf	15	0.8
"94"	570	15	1
"95"	460	15	1.2
"96"	430	15	1.4
"97"	420	15	1.6
"98"	400	15	1.8
"99"	380	15	2
"100"	Inf	20	0
"101"	Inf	20	0.2
"102"	Inf	20	0.4
"103"	Inf	20	0.6
"104"	Inf	20	0.8
"105"	Inf	20	1
"106"	Inf	20	1.2
"107"	510	20	1.4
"108"	430	20	1.6
"109"	410	20	1.8
"110"	390	20	2
"111"	Inf	25	0
"112"	Inf	25	0.2
"113"	Inf	25	0.4
"114"	Inf	25	0.6
"115"	Inf	25	0.8
"116"	Inf	25	1
"117"	Inf	25	1.2
"118"	Inf	25	1.4
"119"	Inf	25	1.6
"120"	510	25	1.8
"121"	410	25	2
