"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"DurchschnittAnzahlZellen"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	111.995217218015	112	40.4635212921227	27.1335176556126	36.2330982430087	4	2509	0.0500039859693878
"2"	10	112.525390210193	111.992942931183	45.6821225741369	27.5388910837864	36.8444291363929	6.34955369997121	3473	0.0692163584183673
"3"	20	112.459878020478	112.044071535836	48.5506181481595	28.388197674926	37.9616383012798	5.76063708759954	4395	0.0875916772959184
"4"	30	112.359360331998	112.084294905552	52.4452689193295	29.668201018238	39.8157287457323	5.47033008967754	5241	0.104452327806122
"5"	40	112.334629441792	112.341159278775	56.6721732452413	31.2088881924412	42.0344080241158	5.29688786431747	6073	0.121033960459184
"6"	50	112.160749145423	112.437027867903	59.8049666635496	32.8137521676762	44.1906072432073	5.19177288528389	6904	0.137595663265306
"7"	60	112.30942970949	112.569861433183	61.3866211364823	34.4943689921961	46.5090756907338	5.14138153647515	7745	0.154356664540816
"8"	70	112.293560454126	112.560314188566	64.9106343599848	36.2439069495391	48.8263160715394	5.04863992623329	8676	0.172911352040816
"9"	80	112.122162892365	112.650544152077	68.7856641502322	38.0946389862319	51.3113104419975	5.0048689526572	9653	0.1923828125
"10"	90	112.397013527205	112.48347087242	72.7494847697965	39.9844828908687	53.873494040476	4.98198874296435	10660	0.212452168367347
"11"	100	112.157558004405	112.593558216161	74.0004194320976	41.9805494729286	56.50202004368	4.9278333050991	11806	0.235291772959184
"12"	110	111.963403449869	112.724404912983	77.5984836272801	43.9103754277712	59.067952272971	4.88094871399969	12986	0.258808992346939
"13"	120	112.019442017871	112.844741110251	80.7172325579139	45.7985866779456	61.5056908115506	4.83486948568212	14213	0.283262914540816
"14"	130	112.063275377468	112.762936869273	84.449615460141	47.7599212764294	64.1505408784456	4.79739321202736	15498	0.308872767857143
"15"	140	111.833972895753	112.762632818533	87.191384610612	49.7312900829547	66.8297297476173	4.78111078111078	16835	0.335518973214286
"16"	150	111.968606435698	112.70488357088	89.7939110185108	51.6921431251341	69.3572243334134	4.75693454665059	18242	0.363560267857143
