"Time"	"xCenter"	"yCenter"	"MaximalerRadius"	"DurchschnittRadius"	"EightyProzentRadius"	"DurchschnittAnzahlZellen"	"AnzahlZellenSystem"	"Abdeckung"
"1"	0	111.995217218015	112	40.4635212921227	27.1335176556126	36.2330982430087	4	2509	0.0500039859693878
"2"	10	112.102172436671	111.693768003619	46.549825357381	27.3877559130071	36.6070447342925	5.49819059107358	3316	0.0660873724489796
"3"	20	112.070056344811	111.516143558873	47.2343359214061	28.021624264173	37.4349047883095	5.0522513845413	4153	0.0827686543367347
"4"	30	111.973544298874	111.52093926305	49.2814444751749	28.7009104143896	38.4375901587299	4.79836233367451	4885	0.0973573022959184
"5"	40	111.858213503185	111.649804549591	51.642120763138	29.567002762019	39.5285202236814	4.67734303912648	5495	0.109514508928571
"6"	50	111.718949012833	111.516040013162	53.5285070726838	30.5698954581869	40.8965264969522	4.59262915432708	6078	0.121133609693878
"7"	60	111.700118361199	111.537208299443	55.2791186365133	31.6137651017355	42.3251668185229	4.5512878445549	6639	0.132314253826531
"8"	70	111.764835039041	111.732229280535	56.2956242468428	32.6253853288596	43.716945052856	4.53151143335192	7172	0.142936862244898
"9"	80	111.8931783234	111.644721041721	58.5672978107455	33.6969889200823	45.1601089705983	4.50660792951542	7718	0.153818558673469
"10"	90	111.923223472089	111.714910875842	60.2234935494811	34.909353357632	46.8123327936096	4.48700673724735	8312	0.165656887755102
"11"	100	112.009817849099	111.742550912162	63.0294591017702	36.0240853160626	48.3264422761197	4.47072072072072	8880	0.176977040816327
"12"	110	112.059837978142	111.60318746322	64.9896914371253	37.2310635270829	49.9376892237932	4.45145018915511	9516	0.189652423469388
"13"	120	112.118088215621	111.628698052331	66.8225767010748	38.4457121340791	51.5314784162411	4.43438914027149	10166	0.202606823979592
"14"	130	112.260367871709	111.453472932888	68.6665163563829	39.572599080244	53.030488961857	4.42621431219874	10788	0.21500318877551
"15"	140	112.42392259023	111.358571170148	70.2393933200525	40.7349586795732	54.5923078732483	4.41702350782138	11443	0.228057238520408
"16"	150	112.361011226594	111.400060546069	71.6935017467271	41.9049250346277	56.113373963251	4.4068299925761	12123	0.241609534438776
"17"	160	112.293547820354	111.404806647533	75.3043257012392	43.1864103564701	57.797204796522	4.39047471300031	12892	0.256935586734694
"18"	170	112.286256206846	111.312038276774	77.3817327138245	44.3595049224916	59.3822229851704	4.38857058909946	13614	0.27132493622449
"19"	180	112.402390478176	111.206753134557	79.128569396808	45.5742125028952	60.9900241244494	4.36919655268279	14388	0.286750637755102
"20"	190	112.342841828383	111.239111042904	81.193200471193	46.7390482055954	62.5337397742058	4.35881188118812	15150	0.301937181122449
"21"	200	112.252366221747	111.246432298684	82.3810831171535	47.8336915099557	64.0065941431629	4.35094125794875	15883	0.316545758928571
"22"	210	112.159411159159	111.11205848048	84.6665941194251	48.9628184367383	65.5286147349902	4.34282282282282	16650	0.331831951530612
"23"	220	112.109536728271	111.126416610402	87.1129894685374	50.1489131693672	67.1192373038973	4.34033300909767	17477	0.34831393494898
"24"	230	112.006593293681	111.181280634072	88.7401409556782	51.3529498750551	68.7102028801613	4.33678926115901	18326	0.365234375
"25"	240	111.999108187926	111.14381452159	90.8166760440293	52.531935126635	70.2988123601099	4.32220428147299	19199	0.382633131377551
"26"	250	111.983788692227	111.079751548088	91.7768272063287	53.6838496141954	71.8774554083078	4.31859201276362	20057	0.39973294005102
